"n","FID","CIID-1","CIID-2"
9400,0.00101037157497858,0.254610357791372,0.00186082666769346
9450,0.0001589512840189,0.250223861181584,0.0013115364235588
9500,0.000337398399661238,0.17278363973119,0.000833241349058393
9550,0.0011527259023985,0.129323238953201,0.000437907910156357
9600,0.00104539685597977,0.161196235078546,0.000488410728097596
9650,0.000523300109729437,0.148068945382987,0.000551885138056971
9700,0.000921959263186718,0.269766172090563,0.00194238167187956
9750,0.000306986777753657,0.228631572534872,0.00131878215931411
9800,0.000757302917529124,0.145959911689137,0.00049252342904852
9850,0.000818226885983596,0.197287487006105,0.000917245974046846
9900,0.000102270826416714,0.196793444790532,0.000779717950578954
9950,0.000684788430457942,0.187308130621193,0.000861337766818017
10000,0.00181435701700929,0.210497133600452,0.00125543894807088
