"n","FID","CIID-1","CIID-2"
5000,0.000495983106725394,1.59448486855527,0.0796130070110743
5050,0.000474131819869478,1.55975246222812,0.0733706229411715
5100,0.00170044316101787,1.60893554516404,0.0812128976559916
5150,0.00154982328606408,1.65069615145496,0.0852956601972682
5200,0.000766392509082367,1.62542410740089,0.0822580541516719
5250,0.00144267889032611,1.63211971555799,0.0809314437567814
5300,0.000100444167412985,1.56944296626874,0.091123547554002
5350,0.000829994800774977,1.58713430940966,0.0801798224283901
5400,0.000536076357301524,1.63150693320736,0.0779583515275285
5450,0.00159631427012597,1.63429576755504,0.0924286092280605
5500,0.000594584779924978,1.72464101923957,0.0942313706325272
5550,0.00151201322415945,1.56608586639417,0.08170597740533
5600,0.001605887155815,1.63267621686591,0.084211017275174
5650,0.00120141190142924,1.58586135282558,0.0726327155465351
5700,0.000739141176018468,1.62173613634687,0.0862032481559176
5750,0.000232183064676426,1.59612061425145,0.0914053664735586
5800,0.00117989513952207,1.62295148644872,0.0776448755955625
5850,0.000513130331810603,1.68246548053705,0.0881727431248692
5900,0.000949542801994782,1.697836227347,0.0796113166005406
5950,0.00119013698180159,1.68380628020927,0.0865778542844227
6000,0.000646089363411405,1.63550132097121,0.0897318351882985
6050,0.00155968173304125,1.64665903162126,0.0895049361877772
6100,0.00174133748009557,1.63036747384489,0.0788219995999537
6150,0.00113548637011107,1.75755538746566,0.0849404852410803
6200,0.000955557550990425,1.52318752584999,0.0617154023855742
6250,0.00140741526930203,1.56273064217992,0.0715591007808916
6300,0.000465138791265674,1.58438567475494,0.0678505503712728
6350,0.000722612311245555,1.63223797970451,0.0788889935651409
6400,0.000806766946275167,1.69882096499828,0.0845502395561034
6450,0.000540687369064671,1.61260476754544,0.0778874245426974
6500,0.000869927166370449,1.72321454564618,0.0818811513820276
6550,0.000612321345926172,1.71538478355736,0.088097318584039
6600,0.00123697869826442,1.61633744723066,0.0831228390115158
6650,0.00131592200746591,1.71570909591881,0.0887017958502331
6700,0.00146578265502552,1.63157580579127,0.0778585844822917
6750,0.000512194336826971,1.68692774049243,0.0806773989612057
6800,0.000386079137435453,1.65084791713723,0.0887103004798259
6850,0.000546353379319341,1.62898365382404,0.0813203988194766
6900,0.000561379849232895,1.73640525573893,0.0924074242453823
